longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
13.514,46.747,38829.0,2024-11-10 18:00:00,0.0,0.048,0.0,1.045,500.0,132.0,3689.0,5286000000000.0,9.85e-07,Venice_Italy,1.0407949004016408,388.29,11,1,1.1164320195738744,18,1.045
13.557,46.762,38832.0,2024-11-10 18:00:00,0.0,0.0728,0.0,1.975,529.0,124.0,3702.0,4534000000000.0,1.262e-06,Venice_Italy,0.9572394221031514,388.32,11,1,1.101070477255157,18,1.975
13.6,46.778,38835.0,2024-11-10 18:00:00,0.0,0.1701,0.0,5.053,375.0,116.0,3678.0,4851000000000.0,1.42e-06,Venice_Italy,1.0483581418461176,388.35,11,1,1.0982989588085228,18,5.053
13.642,46.794,38839.0,2024-11-10 18:00:00,0.0,0.3676,0.0,11.304,223.0,107.0,3648.0,5215000000000.0,1.52e-06,Venice_Italy,1.0491656750629483,388.39,11,1,1.10404966896598,18,11.304
13.59,46.822,38832.0,2024-11-10 18:10:00,0.0,0.0343,0.0,0.576,622.0,133.0,3642.0,5025000000000.0,7.45e-07,Venice_Italy,1.237145101377966,388.32,11,1,1.101070477255157,18,0.576
13.684,46.811,38842.0,2024-11-10 18:00:00,0.0,1.9841,0.0,52.329,51.0,97.0,0.0,6013000000000.0,1.582e-06,Venice_Italy,1.1561070014211883,388.42,11,1,1.1045032306719629,18,52.329
13.632,46.838,38835.0,2024-11-10 18:10:00,0.0,0.0546,0.0,1.382,572.0,126.0,3658.0,4848000000000.0,1.174e-06,Venice_Italy,1.1033425277001911,388.35,11,1,1.0982989588085228,18,1.382
13.674,46.854,38839.0,2024-11-10 18:10:00,0.0,0.1333,0.0,3.849,431.0,118.0,3637.0,4835000000000.0,1.377e-06,Venice_Italy,1.090933025482153,388.39,11,1,1.10404966896598,18,3.849
13.715,46.871,38842.0,2024-11-10 18:10:00,0.0,0.2892,0.0,8.783,271.0,109.0,3616.0,5187000000000.0,1.493e-06,Venice_Italy,1.121211242157638,388.42,11,1,1.1045032306719629,18,8.783
13.756,46.888,38842.0,2024-11-10 18:10:00,0.0,1.0303,0.0,29.611,94.0,99.0,0.0,5938000000000.0,1.551e-06,Venice_Italy,1.1802829626897726,388.42,11,1,1.1045032306719629,18,29.611
13.707,46.914,38839.0,2024-11-10 18:20:00,0.0,0.0442,0.0,1.05,597.0,128.0,3608.0,5017000000000.0,1.097e-06,Venice_Italy,1.2075144595887193,388.39,11,1,1.10404966896598,18,1.05
